"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","1","FCER1G","ENSG00000158869","161185024","161190489","2",1.46139911841814e-07,"remNA"
"2","1","NDUFS2","ENSG00000158864","161166894","161184185","2",3.7185355163154e-08,"remNA"
"3","1","MPZ","ENSG00000158887","161274525","161279762","2",1.65187901192284e-07,"remNA"
"4","1","SDHC","ENSG00000143252","161284047","161332984","4",3.11920843845163e-07,"remNA"
"5","1","CR1","ENSG00000203710","207669492","207813992","2",9.66690073467549e-16,"www.ncbi.nlm.nih.gov/pubmed/19734903"
"6","1","CD55","ENSG00000196352","207494853","207534311","4",8.17051551608125e-07,"remNA"
"7","1","CR2","ENSG00000117322","207627575","207663240","4",1.96434439796438e-15,"www.ncbi.nlm.nih.gov/pubmed/30805717"
"8","1","CR1L","ENSG00000197721","207818458","207911761","1",7.69423180954418e-15,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"9","1","CD46P1","ENSG00000244703","207818579","207830755","1",1.6273402520096e-14,"remNA"
"10","1","CD34","ENSG00000174059","208057594","208084747","5",4.19491604785923e-15,"remNA"
"11","2","BIN1","ENSG00000136717","127805603","127864931","4",3.61889972425637e-22,"www.ncbi.nlm.nih.gov/pubmed/21627779"
"12","2","CYP27C1","ENSG00000186684","127941696","127977654","0",1.89630680740883e-21,"remNA"
"13","2","GIGYF2","ENSG00000204120","233562009","233725285","5",2.67513292827564e-06,"remNA"
"14","2","INPP5D","ENSG00000168918","233924677","234116549","4",4.30683693434243e-09,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"15","2","NEU2","ENSG00000115488","233897382","233899767","1",2.25541210956487e-06,"remNA"
"16","2","ATG16L1","ENSG00000085978","234118697","234204320","5",2.22054688157685e-06,"remNA"
"17","6","CD2AP","ENSG00000198087","47445525","47594999","2",2.76002444796446e-08,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"18","6","OPN5","ENSG00000124818","47749718","47800516","1",2.62512347914189e-08,"remNA"
"19","7","ZKSCAN5","ENSG00000196652","99102274","99132323","5",1.08184970637465e-13,"remNA"
"20","7","GPC2","ENSG00000213420","99767229","99774995","7",1.75461426481411e-13,"remNA"
"21","7","MEPCE","ENSG00000146834","100026413","100031741","28",2.07818457985856e-13,"remNA"
"22","7","MOSPD3","ENSG00000106330","100209725","100213007","13",2.32789534603243e-13,"remNA"
"23","7","C7orf43","ENSG00000146826","99752043","99756338","8",1.14972773588352e-13,"remNA"
"24","7","CNPY4","ENSG00000166997","99717236","99723134","8",1.42040816355847e-13,"remNA"
"25","7","LRCH4","ENSG00000077454","100169855","100183776","19",2.76920569277818e-13,"remNA"
"26","7","NYAP1","ENSG00000166924","100081550","100092422","9",7.64163239488063e-13,"remNA"
"27","7","AZGP1","ENSG00000160862","99564343","99573780","1",5.12681793133365e-08,"remNA"
"28","7","PCOLCE","ENSG00000106333","100199800","100205798","25",3.87230425899313e-13,"remNA"
"29","7","EPHB4","ENSG00000196411","100400187","100425121","7",3.55590261801296e-12,"remNA"
"30","7","TRIP6","ENSG00000087077","100464760","100471076","7",4.01472876261513e-12,"remNA"
"31","7","ZKSCAN1","ENSG00000106261","99613204","99639312","7",1.77109891807474e-13,"remNA"
"32","7","GNB2","ENSG00000172354","100271154","100276797","5",1.71751076432515e-13,"remNA"
"33","7","PVRIG","ENSG00000213413","99815864","99819113","7",1.39488634048263e-12,"remNA"
"34","7","MCM7","ENSG00000166508","99690351","99699563","2",2.5312006970323e-12,"remNA"
"35","7","PILRA","ENSG00000085514","99965153","99997719","13",1.68814445804995e-13,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"36","7","FBXO24","ENSG00000106336","100181605","100198740","15",2.26438227089632e-13,"remNA"
"37","7","AGFG2","ENSG00000106351","100136834","100165842","7",1.56561678818203e-13,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"38","7","STAG3","ENSG00000066923","99775186","99819111","5",2.08703443636113e-12,"www.ncbi.nlm.nih.gov/pubmed/30617256"
"39","7","LAMTOR4","ENSG00000188186","99746530","99753567","3",1.02759986306493e-12,"remNA"
"40","7","GAL3ST4","ENSG00000197093","99756867","99766373","2",1.39995399866466e-12,"remNA"
"41","7","GATS","ENSG00000160844","99798283","99869855","0",1.18303843205917e-11,"remNA"
"42","7","ZCWPW1","ENSG00000078487","99998449","100026615","5",5.21550044898758e-14,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"43","7","SAP25","ENSG00000205307","100169855","100171270","9",1.22869647420611e-13,"remNA"
"44","7","C7orf61","ENSG00000185955","100054238","100061894","4",2.41669331652198e-13,"remNA"
"45","7","TSC22D4","ENSG00000166925","100060982","100076902","5",3.70350723829174e-13,"remNA"
"46","7","ACTL6B","ENSG00000077080","100240720","100254084","2",2.88966788174632e-11,"remNA"
"47","7","TFR2","ENSG00000106327","100218039","100240402","1",3.19515986166657e-11,"remNA"
"48","7","EPHA1","ENSG00000146904","143087382","143105985","3",1.05019281735744e-06,"www.ncbi.nlm.nih.gov/pubmed/24162737"
