"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","1","NDUFS2","ENSG00000158864","161166894","161184185","2",6.41270450802752e-09,"remNA"
"2","1","CD55","ENSG00000196352","207494853","207534311","4",7.92665124075249e-08,"remNA"
"3","2","BIN1","ENSG00000136717","127805603","127864931","4",1.37482958960002e-12,"www.ncbi.nlm.nih.gov/pubmed/21627779"
"4","2","INPP5D","ENSG00000168918","233924677","234116549","4",4.87104406135366e-10,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"5","6","CD2AP","ENSG00000198087","47445525","47594999","2",3.29017980124641e-08,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"6","7","MBLAC1","ENSG00000214309","99724317","99726118","14",5.3187284830569e-08,"remNA"
"7","7","GPC2","ENSG00000213420","99767229","99774995","7",8.80586426089033e-11,"remNA"
"8","7","NYAP1","ENSG00000166924","100081550","100092422","9",6.76303356345134e-08,"remNA"
"9","7","AZGP1","ENSG00000160862","99564343","99573780","1",6.01161498622091e-09,"remNA"
"10","7","PVRIG","ENSG00000213413","99815864","99819113","7",4.48468055587914e-09,"remNA"
"11","7","MCM7","ENSG00000166508","99690351","99699563","2",2.41486407423355e-07,"remNA"
"12","7","STAG3","ENSG00000066923","99775186","99819111","5",5.53971785014708e-10,"www.ncbi.nlm.nih.gov/pubmed/30617256"
"13","7","LAMTOR4","ENSG00000188186","99746530","99753567","3",7.37829254797727e-08,"remNA"
"14","7","GATS","ENSG00000160844","99798283","99869855","0",4.48468055587914e-09,"remNA"
"15","7","EPHA1","ENSG00000146904","143087382","143105985","3",2.38477537696101e-07,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"16","8","CLU","ENSG00000120885","27454434","27472548","3",8.8228985519621e-18,"www.ncbi.nlm.nih.gov/pubmed/19734902"
"17","11","MS4A2","ENSG00000149534","59855734","59863444","1",8.1242156599453e-10,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"18","11","MS4A3","ENSG00000149516","59824060","59838601","1",1.81370509770061e-11,"www.ncbi.nlm.nih.gov/pubmed/24755620"
"19","11","MS4A6A","ENSG00000110077","59939081","59952139","1",5.31803159344538e-13,"www.ncbi.nlm.nih.gov/pubmed/21460840"
"20","11","SYTL2","ENSG00000137501","85405267","85522184","4",3.46048740364319e-07,"remNA"
"21","14","SLC24A4","ENSG00000140090","92788925","92962596","1",1.87288965842217e-07,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"22","15","RNF111","ENSG00000157450","59157374","59389618","8",1.2185276750312e-07,"remNA"
"23","15","FAM63B","ENSG00000128923","59063391","59154099","0",1.84138798213308e-07,"remNA"
"24","16","ZNF646","ENSG00000167395","31085743","31095517","17",8.10230863088547e-08,"remNA"
"25","16","ZNF668","ENSG00000167394","31072164","31085641","8",3.41186202560503e-08,"remNA"
"26","16","FBXL19","ENSG00000099364","30934376","30960104","3",4.01509449812381e-07,"remNA"
"27","16","BCKDK","ENSG00000103507","31117428","31124110","2",1.97664925473967e-07,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"28","16","PRSS8","ENSG00000052344","31142756","31147083","3",1.80207709839208e-08,"remNA"
"29","17","ZNF232","ENSG00000167840","5008836","5026411","13",2.69252118039601e-08,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"30","17","SCIMP","ENSG00000161929","5112256","5138155","1",2.11899951179216e-10,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"31","17","ZNF652","ENSG00000198740","47366568","47439835","3",4.39207072523258e-07,"remNA"
"32","19","PPP1R37","ENSG00000104866","45594654","45651335","7",2.89831828815278e-23,"www.ncbi.nlm.nih.gov/pubmed/23565137"
"33","19","BLOC1S3","ENSG00000189114","45682003","45685059","6",1.75983941166977e-23,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"34","19","PVR","ENSG00000073008","45147098","45166850","1",2.31629779671802e-19,"www.ncbi.nlm.nih.gov/pubmed/24755620"
"35","19","CEACAM16","ENSG00000213892","45202421","45213986","0",4.70568972887339e-15,"www.ncbi.nlm.nih.gov/pubmed/23565137"
"36","19","BCL3","ENSG00000069399","45250962","45263301","1",9.20114412862473e-220,"www.ncbi.nlm.nih.gov/pubmed/23565137"
"37","19","RELB","ENSG00000104856","45504688","45541452","10",6.08299452235736e-11,"www.ncbi.nlm.nih.gov/pubmed/29274321"
"38","19","CBLC","ENSG00000142273","45281126","45303891","1",1.21922452900553e-75,"www.ncbi.nlm.nih.gov/pubmed/29274321"
"39","19","BCAM","ENSG00000187244","45312328","45324673","4",1.15224561835218e-27,"www.ncbi.nlm.nih.gov/pubmed/24755620"
"40","19","APOE","ENSG00000130203","45409011","45412650","4",0,"www.ncbi.nlm.nih.gov/pubmed/18823527"
"41","19","PVRL2","ENSG00000130202","45349432","45392485","0",0,"www.ncbi.nlm.nih.gov/pubmed/18823527"
"42","19","APOC1","ENSG00000130208","45417504","45422606","1",0,"www.ncbi.nlm.nih.gov/pubmed/17474819"
"43","19","APOC1P1","ENSG00000214855","45430061","45434643","1",1.23645778265644e-84,"www.ncbi.nlm.nih.gov/pubmed/17474819"
"44","19","APOC4","ENSG00000267467","45445495","45452820","0",1.00535018930222e-12,"www.ncbi.nlm.nih.gov/pubmed/29274321"
"45","19","APOC4-APOC2","ENSG00000224916","45445495","45452822","0",1.00535018930222e-12,"www.ncbi.nlm.nih.gov/pubmed/29274321"
