"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","1","PPOX","161136200","161147803","6",1.92089789794172e-06,-1,"remNA"
"2","1","B4GALT3","161141100","161146638","5",7.57410647842902e-08,-1,"remNA"
"3","1","FCER1G","161185024","161190489","9",1.12471678538056e-07,-1,"remNA"
"4","1","CR1","207669492","207813992","6",1.88790885221582e-15,-1,"www.ncbi.nlm.nih.gov/pubmed/19734903"
"5","2","BIN1","127805603","127864931","16",1.01283844947847e-27,-1,"www.ncbi.nlm.nih.gov/pubmed/21627779"
"6","2","INPP5D","233924677","234116549","5",3.01030042799916e-07,-1,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"7","6","HLA-DRB9","32427598","32441277","14",1.10188611629359e-06,-1,"www.ncbi.nlm.nih.gov/pubmed/25188341"
"8","6","HLA-DRB1","32546546","32557625","34",2.57299814674653e-08,-1,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"9","6","HLA-DQA2","32709119","32714992","46",4.19501923561826e-10,-1,"remNA"
"10","6","RP11-385F7.1","47444979","47445308","18",6.18575410715385e-08,-1,"remNA"
"11","6","CD2AP","47445525","47594999","8",1.42178224841286e-06,-1,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"12","7","ZSCAN21","99647390","99662661","33",2.27947983626659e-06,-1,"remNA"
"13","7","TAF6","99707571","99717190","16",8.91655198168574e-08,-1,"remNA"
"14","7","CNPY4","99717236","99723134","16",1.10523359598763e-06,-1,"remNA"
"15","7","AC073842.19","99728587","99737916","2",9.53175527511599e-07,-1,"remNA"
"16","7","C7orf43","99752043","99756338","2",1.87268758392408e-07,-1,"remNA"
"17","7","GAL3ST4","99756867","99766373","7",1.93718242026968e-06,-1,"remNA"
"18","7","GPC2","99767229","99774992","7",1.08886655233164e-06,-1,"remNA"
"19","7","STAG3","99775186","99818169","22",8.35461001077006e-10,-1,"www.ncbi.nlm.nih.gov/pubmed/30617256"
"20","7","GATS","99798276","99844171","12",8.22382311579062e-08,-1,"remNA"
"21","7","PVRIG","99815864","99819113","15",2.53768057450382e-10,-1,"remNA"
"22","7","ZCWPW1","99998476","100026415","21",7.88048981218346e-10,-1,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"23","7","NYAP1","100081550","100092422","6",3.07597031737691e-12,-1,"remNA"
"24","7","EPHA1","143087382","143105985","7",2.55988042932469e-06,-1,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"25","7","EPHA1-AS1","143104906","143220542","8",9.79976578850771e-09,-1,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"26","8","CLU","27454434","27472548","7",5.91301904528668e-14,-1,"www.ncbi.nlm.nih.gov/pubmed/19734902"
"27","8","SCARA5","27727399","27850244","4",6.03750409177885e-07,-1,"remNA"
"28","11","MS4A2","59855734","59863444","3",5.1254182809786e-10,-1,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"29","11","MS4A6A","59939081","59952139","3",1.05688261302174e-08,-1,"www.ncbi.nlm.nih.gov/pubmed/21460840"
"30","11","MS4A4E","59968726","60010561","2",1.3535489537316e-08,-1,"www.ncbi.nlm.nih.gov/pubmed/21460840"
"31","11","MS4A4A","60048014","60076445","9",9.7215851972959e-08,-1,"www.ncbi.nlm.nih.gov/pubmed/21627779"
"32","11","CCDC89","85394893","85397320","4",1.72140801339069e-06,-1,"www.ncbi.nlm.nih.gov/pubmed/26830138"
"33","14","SLC24A4","92788925","92962596","7",9.44301350177627e-09,-1,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"34","15","ALDH1A2","58245622","58790065","2",1.17420423660277e-06,-1,"www.ncbi.nlm.nih.gov/pubmed/23535033"
"35","15","SLTM","59171244","59225852","4",7.65351151641308e-08,-1,"remNA"
"36","16","C16orf93","30772519","30774031","9",7.11547762080998e-07,-1,"remNA"
"37","16","VKORC1","31102163","31107301","20",2.34427028700707e-06,-1,"remNA"
"38","16","BCKDK","31117428","31124110","3",2.472189458558e-06,-1,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"39","16","KAT8","31127075","31142714","42",2.70653427458708e-09,-1,"www.ncbi.nlm.nih.gov/pubmed/30617256"
"40","16","PRSS36","31150246","31161415","17",1.97295428750194e-06,-1,"remNA"
"41","16","COG4","70514471","70557468","24",6.25681866733298e-08,-1,"www.ncbi.nlm.nih.gov/pubmed/29274321"
"42","17","CAMTA2","4871287","4890939","22",1.69941078293081e-06,-1,"remNA"
"43","17","ZNF232","5008836","5026411","30",2.62814967504024e-06,-1,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"44","17","AC012146.7","5014763","5017674","37",2.97825826409737e-07,-1,"remNA"
"45","17","SCIMP","5112256","5138155","20",1.85597206650273e-07,-1,"www.ncbi.nlm.nih.gov/pubmed/24162737"
"46","17","RP11-333E1.2","5143803","5144838","6",7.54611186170366e-09,-1,"remNA"
"47","17","DCAF7","61627822","61671639","4",8.38174773319282e-07,-1,"www.ncbi.nlm.nih.gov/pubmed/26830138"
"48","19","CNN2","1026298","1039068","6",4.85663664809085e-07,-1,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"49","19","ZNF235","44732882","44809199","9",3.08374328048946e-16,-1,"remNA"
"50","19","ZNF285","44886459","44905774","23",1.79767030808964e-14,-1,"remNA"
"51","19","ZNF229","44921685","44952766","16",2.92694017560489e-33,-1,"remNA"
"52","19","ZNF285B","44971858","44977444","6",6.73226923280028e-10,-1,"remNA"
"53","19","ZNF180","44979854","45004576","20",3.17106399686472e-11,-1,"remNA"
"54","19","CEACAM22P","45041045","45124119","5",1.44050964995699e-06,-1,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"55","19","CTB-171A8.1","45135500","45222031","23",1.23245496202334e-82,-1,"www.ncbi.nlm.nih.gov/pubmed/30617256"
"56","19","PVR","45147098","45166850","13",6.0816686132653e-25,-1,"www.ncbi.nlm.nih.gov/pubmed/24755620"
"57","19","CEACAM19","45170227","45187631","20",3.58614157233986e-31,-1,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"58","19","BCAM","45312328","45324671","2",5.24732572860989e-14,-1,"www.ncbi.nlm.nih.gov/pubmed/24755620"
"59","19","PVRL2","45349432","45392485","6",3.81848076335514e-90,-1,"www.ncbi.nlm.nih.gov/pubmed/18823527"
"60","19","APOE","45409011","45412650","5",1.82129656929896e-193,-1,"www.ncbi.nlm.nih.gov/pubmed/18823527"
"61","19","CLPTM1","45457848","45496599","3",1.91424872856864e-32,-1,"www.ncbi.nlm.nih.gov/pubmed/29274321"
"62","19","ZNF296","45574758","45579767","2",2.43521771118535e-33,-1,"www.ncbi.nlm.nih.gov/pubmed/30805717"
"63","19","GEMIN7","45582453","45594782","34",4.93025134791492e-30,-1,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"64","19","PPP1R37","45595050","45650543","4",1.23709333099751e-16,-1,"www.ncbi.nlm.nih.gov/pubmed/23565137"
"65","19","NKPD1","45653864","45663408","4",3.66050048809246e-35,-1,"www.ncbi.nlm.nih.gov/pubmed/30617256"
"66","19","TRAPPC6A","45666186","45681495","2",2.26938891665921e-13,-1,"www.ncbi.nlm.nih.gov/pubmed/30805717"
"67","19","MARK4","45754516","45808541","4",2.05638406730026e-08,-1,"www.ncbi.nlm.nih.gov/pubmed/29777097"
"68","19","KLC3","45836692","45852860","6",3.01160081658025e-16,-1,"www.ncbi.nlm.nih.gov/pubmed/30805717"
"69","19","ERCC2","45853095","45874176","19",7.15463114617298e-11,-1,"www.ncbi.nlm.nih.gov/pubmed/30805717"
"70","19","PPP1R13L","45882892","45908339","5",2.47615999715975e-11,-1,"www.ncbi.nlm.nih.gov/pubmed/30805717"
"71","19","CD3EAP","45909467","45914024","18",2.40992226306874e-08,-1,"www.ncbi.nlm.nih.gov/pubmed/30805717"
"72","19","RTN2","45988547","46000319","5",2.83240169718954e-11,-1,"www.ncbi.nlm.nih.gov/pubmed/30805717"
"73","19","OPA3","46030685","46105470","7",2.5866681531462e-06,-1,"www.ncbi.nlm.nih.gov/pubmed/30805717"
"74","19","AC074212.6","46271054","46275762","3",1.22660588873321e-06,-1,"remNA"
